period_start,period_end,params,return,drawdown,bnh_return
2025-06-23 21:00:00,2025-06-30 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.03876201696305093,-0.043401410055945965,0.06427267815588289
2025-06-30 21:00:00,2025-07-07 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.03855706042892826,-0.05715363396680872,0.011887963736514129
2025-07-07 21:00:00,2025-07-14 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.13003009744977323,-0.038128180793052475,0.18581197188940646
2025-07-14 21:00:00,2025-07-21 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 192}",0.12611480433833133,-0.048317392844492005,0.2479512292624424
2025-07-21 21:00:00,2025-07-28 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 192}",0.0374754952582832,-0.047001465808425257,0.00967139158057706
2025-07-28 21:00:00,2025-08-04 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.02059180223287771,-0.06922417709494935,-0.018866677418416744
2025-08-04 21:00:00,2025-08-11 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.18137844822709837,-0.037907056608209214,0.14605345772129663
2025-08-11 21:00:00,2025-08-18 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.020240620188499592,-0.06374552887072087,0.022386708582472936
2025-08-18 21:00:00,2025-08-25 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 192}",0.11669853337598313,-0.08086215198119372,0.0009291243692763906
2025-08-25 21:00:00,2025-09-01 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.04198467732412192,-0.06305163414681575,-0.01716824976678577
2025-09-01 21:00:00,2025-09-08 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.027967318326445834,-0.050849120991375715,0.005921683226183472
2025-09-08 21:00:00,2025-09-15 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.031643768735267974,-0.05206640584761541,0.04850063795223147
2025-09-15 21:00:00,2025-09-22 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.008410878187377735,-0.042637087820283956,-0.07321479235379658
2025-09-22 21:00:00,2025-09-29 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.025309287600443375,-0.05988902110125192,0.008093350967782076
2025-09-29 21:00:00,2025-10-06 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.08072891492034495,-0.028275300532850583,0.11347670846134661
2025-10-06 21:00:00,2025-10-13 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 192}",0.0023627509707382366,-0.06642578761691205,-0.09067064959858173
2025-10-13 21:00:00,2025-10-20 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.03924360303524588,-0.06053775520171916,-0.06437728015070976
2025-10-20 21:00:00,2025-10-27 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.08110146786646855,-0.0335974174596541,0.033583266968189696
2025-10-27 21:00:00,2025-11-03 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.028783531990751676,-0.03919726942049984,-0.1293068356933097
2025-11-03 21:00:00,2025-11-10 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",0.02368641625557122,-0.07596621169139903,-0.012784229259021118
2025-11-10 21:00:00,2025-11-17 21:00:00,"{'st_len': 10, 'st_mult': 3.0, 'rsi_len': 14, 'rsi_buy': 40, 'breakout_window': 96}",-0.05679351425009904,-0.05679351425009899,-0.14861242265789065
