period_start,period_end,params,return,drawdown
2025-06-23 21:00:00,2025-06-30 21:00:00,"{'bb_len': 20, 'bb_std': 2.0, 'adx_threshold': 20}",-0.007767508035135373,-0.018734577539045914
2025-06-30 21:00:00,2025-07-07 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.028730370338063027,-0.03134380284739909
2025-07-07 21:00:00,2025-07-14 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 30}",-0.09038802535582402,-0.09629029397834273
2025-07-14 21:00:00,2025-07-21 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 25}",0.0080964432095465,-0.012960277755987034
2025-07-21 21:00:00,2025-07-28 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.01998642237384718,-0.025299629509957854
2025-07-28 21:00:00,2025-08-04 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 25}",-0.01825165139560525,-0.0362790462389775
2025-08-04 21:00:00,2025-08-11 21:00:00,"{'bb_len': 20, 'bb_std': 2.0, 'adx_threshold': 25}",-0.06701414157765262,-0.07329894883191809
2025-08-11 21:00:00,2025-08-18 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.035880507639121095,-0.04600584012567615
2025-08-18 21:00:00,2025-08-25 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 25}",-0.005666845814914057,-0.021118074904649807
2025-08-25 21:00:00,2025-09-01 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.012864494221981437,-0.025097678980230003
2025-09-01 21:00:00,2025-09-08 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.014238718350890078,-0.023871119369004188
2025-09-08 21:00:00,2025-09-15 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.005159110696458136,-0.017230360138595982
2025-09-15 21:00:00,2025-09-22 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.006165545362967317,-0.014927884962586565
2025-09-22 21:00:00,2025-09-29 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.022490824242069496,-0.02734023282774128
2025-09-29 21:00:00,2025-10-06 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.058034368904265055,-0.06361362848688587
2025-10-06 21:00:00,2025-10-13 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.06657980072460601,-0.10314804110788282
2025-10-13 21:00:00,2025-10-20 21:00:00,"{'bb_len': 20, 'bb_std': 2.0, 'adx_threshold': 20}",-0.006005988367030146,-0.05896703186574801
2025-10-20 21:00:00,2025-10-27 21:00:00,"{'bb_len': 20, 'bb_std': 2.0, 'adx_threshold': 20}",-0.01727896820520325,-0.024729704936187872
2025-10-27 21:00:00,2025-11-03 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 20}",-0.008410738968002263,-0.0364062658171664
2025-11-03 21:00:00,2025-11-10 21:00:00,"{'bb_len': 30, 'bb_std': 2.0, 'adx_threshold': 30}",-0.07413066458058115,-0.08243175870405521
2025-11-10 21:00:00,2025-11-17 21:00:00,"{'bb_len': 20, 'bb_std': 2.0, 'adx_threshold': 20}",-0.06530639778293257,-0.07648066719591295
