period_start,period_end,params,return,drawdown
2025-06-23 21:00:00,2025-06-30 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.001360260193212004,-0.003966307272317318
2025-06-30 21:00:00,2025-07-07 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.002699239756506322,-0.0026992397565063584
2025-07-07 21:00:00,2025-07-14 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.005581567281964794,-0.009358178433660214
2025-07-14 21:00:00,2025-07-21 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",0.0,0.0
2025-07-21 21:00:00,2025-07-28 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.007910353848511686,-0.011963795432692803
2025-07-28 21:00:00,2025-08-04 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 40, 'rsi_sell': 70}",0.0,0.0
2025-08-04 21:00:00,2025-08-11 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",0.0013910412119071403,-0.009599200145373715
2025-08-11 21:00:00,2025-08-18 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.002745447839210491,-0.003989786037352544
2025-08-18 21:00:00,2025-08-25 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.0010820398190888314,-0.004453887373191719
2025-08-25 21:00:00,2025-09-01 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.01571706047881638,-0.0189556641351656
2025-09-01 21:00:00,2025-09-08 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.0005396294448127836,-0.0018622826003323856
2025-09-08 21:00:00,2025-09-15 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.0029311828775556714,-0.002931182877555693
2025-09-15 21:00:00,2025-09-22 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",0.00027139620726690517,-0.0013977433349465149
2025-09-22 21:00:00,2025-09-29 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.006396419744795101,-0.006509712019473776
2025-09-29 21:00:00,2025-10-06 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",0.0002472092324412589,-0.005604843621623168
2025-10-06 21:00:00,2025-10-13 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 70}",-0.016649137986665452,-0.026586018672440218
2025-10-13 21:00:00,2025-10-20 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.012205691479854841,-0.023402484722235273
2025-10-20 21:00:00,2025-10-27 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.012044168618839612,-0.012564987288294307
2025-10-27 21:00:00,2025-11-03 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.005346673548931591,-0.01813756714310145
2025-11-03 21:00:00,2025-11-10 21:00:00,"{'ema_trend': 400, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",0.0011349146257455534,-0.006397958968800801
2025-11-10 21:00:00,2025-11-17 21:00:00,"{'ema_trend': 200, 'rsi_len': 14, 'rsi_buy': 30, 'rsi_sell': 60}",-0.007881897463511311,-0.014907757651901374
