period_start,period_end,params,return,drawdown
2025-06-23 21:00:00,2025-06-30 21:00:00,"{'window': 96, 'adx_threshold': 20}",-0.01261546266321234,-0.017402554605695085
2025-06-30 21:00:00,2025-07-07 21:00:00,"{'window': 24, 'adx_threshold': 20}",-0.048968523050949786,-0.04920397860951478
2025-07-07 21:00:00,2025-07-14 21:00:00,"{'window': 48, 'adx_threshold': 25}",-0.04570684440028039,-0.045706844400280354
2025-07-14 21:00:00,2025-07-21 21:00:00,"{'window': 24, 'adx_threshold': 25}",-0.03287008660820934,-0.032889108550427086
2025-07-21 21:00:00,2025-07-28 21:00:00,"{'window': 48, 'adx_threshold': 20}",-0.050634566936951675,-0.0506345669369517
2025-07-28 21:00:00,2025-08-04 21:00:00,"{'window': 96, 'adx_threshold': 20}",-0.045574552018256886,-0.04557455201825687
2025-08-04 21:00:00,2025-08-11 21:00:00,"{'window': 48, 'adx_threshold': 20}",-0.013619383466094037,-0.0248158721336363
2025-08-11 21:00:00,2025-08-18 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.028139132584915738,-0.028139132584915752
2025-08-18 21:00:00,2025-08-25 21:00:00,"{'window': 48, 'adx_threshold': 20}",-0.06839725268773511,-0.0697837348952502
2025-08-25 21:00:00,2025-09-01 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.030121600348373967,-0.03176293141022229
2025-09-01 21:00:00,2025-09-08 21:00:00,"{'window': 24, 'adx_threshold': 20}",-0.06579898772013826,-0.06579898772013822
2025-09-08 21:00:00,2025-09-15 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.030164224285724628,-0.030506360022380823
2025-09-15 21:00:00,2025-09-22 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.02024183510926192,-0.026014741845290335
2025-09-22 21:00:00,2025-09-29 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.018572748304796716,-0.018572748304796733
2025-09-29 21:00:00,2025-10-06 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.03902416178520052,-0.039024161785200524
2025-10-06 21:00:00,2025-10-13 21:00:00,"{'window': 24, 'adx_threshold': 20}",-0.0326488425216479,-0.05521951550084377
2025-10-13 21:00:00,2025-10-20 21:00:00,"{'window': 96, 'adx_threshold': 25}",-0.026679819233973334,-0.03192617234000684
2025-10-20 21:00:00,2025-10-27 21:00:00,"{'window': 96, 'adx_threshold': 20}",-0.03552898962633699,-0.035783984504739505
2025-10-27 21:00:00,2025-11-03 21:00:00,"{'window': 96, 'adx_threshold': 20}",-0.044304043788151115,-0.051670974034304026
2025-11-03 21:00:00,2025-11-10 21:00:00,"{'window': 96, 'adx_threshold': 20}",-0.03790356439068565,-0.04324790516180692
2025-11-10 21:00:00,2025-11-17 21:00:00,"{'window': 96, 'adx_threshold': 20}",-0.015640442234153618,-0.032271865281717334
